sin²(?/2) + kc	Zero-Angle Ext	sin²(?/2) + kc	Zero-Concentration Ext	sin²(?/2) + kc	Peak 1	sin²(?/2) + kc	Peak 2	sin²(?/2) + kc	Peak 3	sin²(?/2) + kc	Peak 4	sin²(?/2) + kc	Fit Peak 1	sin²(?/2) + kc	Fit Peak 2	sin²(?/2) + kc	Fit Peak 3	sin²(?/2) + kc	Fit Peak 4	sin²(?/2) + kc	Fit 5	sin²(?/2) + kc	Fit 6	sin²(?/2) + kc	Fit 7	sin²(?/2) + kc	Fit 8	sin²(?/2) + kc	Fit 9	sin²(?/2) + kc	Fit 10	sin²(?/2) + kc	Fit 11	sin²(?/2) + kc	Fit 12	sin²(?/2) + kc	Fit 13	sin²(?/2) + kc	Fit 14	sin²(?/2) + kc	Fit 15
0	5.17138873646694E-8	0	5.17138873646694E-8	0.242713734428399	1.17929216103496E-7	0.365151597726524	1.00426501922092E-7	0.575790711711247	1.10380779803732E-7	1.04538677423218	1.13606143353105E-7	0.0973269601962243	5.28053816140692E-8	0.219764823494349	5.41784875184278E-8	0.430403937479072	5.6540745428769E-8	0.9	6.18071320573968E-8	0.145386774232175	1.11566908934873E-7	0.199533403918693	1.29320290151141E-7	0.258159298493288	1.45765488258549E-7	0.329521428943199	1.61887264972938E-7	0.413698196055409	1.75405015928648E-7	0.5	1.83084630937593E-7	0.586301803944592	1.84507828402865E-7	0.670478571056801	1.79868748467754E-7	0.750457589963652	1.69946738515523E-7	0.824269511784514	1.56022056682093E-7	0.883229299760792	1.41611351291155E-7
0.000973269601962243	5.17248023071634E-8	0.00883229299760792	5.58565428172116E-8	0.296860364114917	1.39422516972365E-7	0.419298227413042	1.22762934005398E-7	0.629937341397765	1.28830161940088E-7	1.09953340391869	1.3280912858227E-7	0.106159253193832	5.68895315809423E-8	0.228597116491957	5.81890372552915E-8	0.43923623047668	6.04246751248984E-8	0.908832292997608	6.54087767047513E-8	0.146360043834137	1.11569233670846E-7	0.200506673520655	1.29319981737536E-7	0.25913256809525	1.45762675294633E-7	0.330494698545161	1.61881889414005E-7	0.414671465657371	1.75397303643429E-7	0.500973269601962	1.83075293851763E-7	0.587275073546554	1.84497647042164E-7	0.671451840658763	1.7985849555469E-7	0.751430859565615	1.69937105557007E-7	0.825242781386476	1.56013590679285E-7	0.884202569362754	1.41604227618206E-7
0.00194653920392449	5.17357172496574E-8	0.0176645859952158	5.99336693644351E-8	0.355486258689512	1.56556939136409E-7	0.477924121987637	1.40599478586088E-7	0.68856323597236	1.43601632478535E-7	1.15815929849329	1.48472579607278E-7	0.11499154619144	6.09089701550265E-8	0.237429409489565	6.21359040347266E-8	0.448068523474288	6.42466911587113E-8	0.917664585995216	6.89524521329763E-8	0.147333313436099	1.11571558406819E-7	0.201479943122618	1.29319673323931E-7	0.260105837697212	1.45759862330716E-7	0.331467968147124	1.61876513855072E-7	0.415644735259333	1.75389591358209E-7	0.501946539203925	1.83065956765932E-7	0.588248343148516	1.84487465681462E-7	0.672425110260725	1.79848242641625E-7	0.752404129167577	1.69927472598491E-7	0.826216050988438	1.56005124676477E-7	0.885175838964717	1.41597103945257E-7
0.00291980880588673	5.17466321921514E-8	0.0264968789928238	6.39452670063399E-8	0.426848389139423	1.64646852833811E-7	0.549286252437548	1.4840450571E-7	0.759925366422271	1.49091537440694E-7	1.2295214289432	1.54168516667985E-7	0.123823839189048	6.48636973363217E-8	0.246261702487173	6.6019087856733E-8	0.456900816471896	6.80067935302076E-8	0.926496878992824	7.24381583420718E-8	0.148306583038062	1.11573883142792E-7	0.20245321272458	1.29319364910326E-7	0.261079107299174	1.457570493668E-7	0.332441237749086	1.61871138296139E-7	0.416618004861295	1.7538187907299E-7	0.502919808805887	1.83056619680102E-7	0.589221612750478	1.84477284320761E-7	0.673398379862688	1.79837989728561E-7	0.753377398769539	1.69917839639975E-7	0.827189320590401	1.55996658673669E-7	0.886149108566679	1.41589980272308E-7
0.00389307840784897	5.17575471346454E-8	0.0353291719904317	6.78913357429259E-8	0.511025156251633	1.88051415383057E-7	0.633463019549758	1.69928074611212E-7	0.844102133534481	1.6929303255961E-7	1.31369819605541	1.75316422449204E-7	0.132656132186656	6.8753713124828E-8	0.255093995484781	6.98385887213107E-8	0.465733109469504	7.17049822393873E-8	0.935329171990432	7.58658953320378E-8	0.149279852640024	1.11576207878765E-7	0.203426482326542	1.29319056496721E-7	0.262052376901137	1.45754236402884E-7	0.333414507351048	1.61865762737206E-7	0.417591274463258	1.75374166787771E-7	0.503893078407849	1.83047282594271E-7	0.590194882352441	1.84467102960059E-7	0.67437164946465	1.79827736815496E-7	0.754350668371502	1.69908206681459E-7	0.828162590192363	1.5598819267086E-7	0.887122378168641	1.41582856599359E-7
0.00486634800981122	5.17684620771394E-8	0.0441614649880396	7.17718755741932E-8	0.597326960196224	1.95325574489152E-7	0.719764823494349	1.76900284281762E-7	0.930403937479072	1.75211252600762E-7	1.4	1.81735166938346E-7	0.141488425184264	7.25790175205455E-8	0.263926288482389	7.35944066284598E-8	0.474565402467112	7.53412572862505E-8	0.94416146498804	7.92356631028744E-8	0.150253122241986	1.11578532614738E-7	0.204399751928504	1.29318748083116E-7	0.263025646503099	1.45751423438968E-7	0.33438777695301	1.61860387178273E-7	0.41856454406522	1.75366454502551E-7	0.504866348009811	1.83037945508441E-7	0.591168151954403	1.84456921599358E-7	0.675344919066612	1.79817483902432E-7	0.755323937973464	1.69898573722943E-7	0.829135859794325	1.55979726668052E-7	0.888095647770603	1.41575732926409E-7
0.00583961761177346	5.17793770196334E-8	0.0529937579856475	7.55868865001417E-8	0.683628764140816	1.88416475261351E-7	0.806066627438941	1.70631094952615E-7	1.01670574142366	1.68365476049188E-7	1.48630180394459	1.74562276176622E-7	0.150320718181872	7.63396105234739E-8	0.272758581479997	7.72865415781802E-8	0.48339769546472	7.89156186707972E-8	0.952993757985648	8.25474616545816E-8	0.151226391843948	1.11580857350711E-7	0.205373021530466	1.2931843966951E-7	0.263998916105061	1.45748610475052E-7	0.335361046554973	1.6185501161934E-7	0.419537813667182	1.75358742217332E-7	0.505839617611774	1.8302860842261E-7	0.592141421556365	1.84446740238657E-7	0.676318188668574	1.79807230989367E-7	0.756297207575426	1.69888940764427E-7	0.830109129396287	1.55971260665244E-7	0.889068917372566	1.4156860925346E-7
0.0068128872137357	5.17902919621274E-8	0.0618260509832555	7.93363685207716E-8	0.767805531253025	1.8994283874399E-7	0.89024339455115	1.72127579046416E-7	1.10088250853587	1.69366090487587E-7	1.5704785710568	1.75660123226241E-7	0.15915301117948	8.00354921336136E-8	0.281590874477605	8.09149935704719E-8	0.492229988462327	8.24280663930273E-8	0.961826050983256	8.58012909871592E-8	0.152199661445911	1.11583182086684E-7	0.206346291132429	1.29318131255905E-7	0.264972185707023	1.45745797511135E-7	0.336334316156935	1.61849636060406E-7	0.420511083269144	1.75351029932113E-7	0.506812887213736	1.83019271336779E-7	0.593114691158327	1.84436558877955E-7	0.677291458270537	1.79796978076303E-7	0.757270477177388	1.69879307805911E-7	0.83108239899825	1.55962794662436E-7	0.890042186974528	1.41561485580511E-7
0.00778615681569795	5.18012069046214E-8	0.0706583439808634	8.30203216360826E-8	0.847784550159877	1.78460081854618E-7	0.970222413458002	1.61759830902593E-7	1.18086152744272	1.59128723167237E-7	1.65045758996365	1.65064677361304E-7	0.167985304177088	8.36666623509642E-8	0.290423167475212	8.4479762605335E-8	0.501062281459935	8.58786004529409E-8	0.970658343980863	8.89971511006074E-8	0.153172931047873	1.11585506822658E-7	0.207319560734391	1.293178228423E-7	0.265945455308986	1.45742984547219E-7	0.337307585758897	1.61844260501473E-7	0.421484352871107	1.75343317646893E-7	0.507786156815698	1.83009934250949E-7	0.59408796076029	1.84426377517254E-7	0.678264727872499	1.79786725163239E-7	0.758243746779351	1.69869674847394E-7	0.832055668600212	1.55954328659628E-7	0.89101545657649	1.41554361907562E-7
0.00875942641766019	5.18121218471154E-8	0.0794906369784713	8.6638745846075E-8	0.921596471980738	1.61178297766597E-7	1.04403433527886	1.45588949565687E-7	1.25467344926359	1.43468660021016E-7	1.72426951178451	1.48876663660521E-7	0.176817597174696	8.7233121175526E-8	0.29925546047282	8.79808486827694E-8	0.509894574457543	8.92672208505379E-8	0.979490636978471	9.21350419949261E-8	0.154146200649835	1.11587831558631E-7	0.208292830336353	1.29317514428695E-7	0.266918724910948	1.45740171583303E-7	0.338280855360859	1.6183888494254E-7	0.422457622473069	1.75335605361674E-7	0.50875942641766	1.83000597165118E-7	0.595061230362252	1.84416196156552E-7	0.679237997474461	1.79776472250174E-7	0.759217016381313	1.69860041888878E-7	0.833028938202174	1.55945862656819E-7	0.891988726178452	1.41547238234613E-7
